Process name: p158
Process ID: 158
Logs:

(06/26/2025 07:05:00PM) Core:0 "DECLARE var0 = 33"
(06/26/2025 07:05:01PM) Core:0 "DECLARE var1 = 31"
(06/26/2025 07:05:01PM) Core:0 "DECLARE var2 = 51"
(06/26/2025 07:05:01PM) Core:0 "DECLARE var3 = 5"
(06/26/2025 07:05:01PM) Core:0 "DECLARE var4 = 42"
(06/26/2025 07:05:02PM) Core:0 "ADD result6 = 31 + 51"
(06/26/2025 07:05:02PM) Core:0 "Hello from p158 [7]"
(06/26/2025 07:05:02PM) Core:0 "ADD result8 = 5 + 42"
(06/26/2025 07:05:02PM) Core:0 "SUBTRACT result9 = 42 - 33"
(06/26/2025 07:05:02PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:02PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:02PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:02PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:02PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:02PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:04PM) Core:0 "Hello from p158 [13]"
(06/26/2025 07:05:04PM) Core:0 "DECLARE var14 = 33"
(06/26/2025 07:05:04PM) Core:0 "ADD result15 = 33 + 31"
(06/26/2025 07:05:05PM) Core:0 "SUBTRACT result17 = 51 - 5"
(06/26/2025 07:05:06PM) Core:0 "Hello from p158 [18]"
(06/26/2025 07:05:06PM) Core:0 "ADD result19 = 42 + 33"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:06PM) Core:0 "SUBTRACT result21 = 31 - 51"
(06/26/2025 07:05:06PM) Core:0 "Hello from p158 [22]"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:06PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:06PM) Core:0 "DECLARE var24 = 67"
(06/26/2025 07:05:06PM) Core:0 "ADD result25 = 33 + 31"
(06/26/2025 07:05:06PM) Core:0 "SUBTRACT result26 = 31 - 51"
(06/26/2025 07:05:07PM) Core:0 "ADD result27 = 51 + 5"
(06/26/2025 07:05:08PM) Core:0 "DECLARE var29 = 2"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:08PM) Core:0 "Hello from p158 [31]"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 2"
(06/26/2025 07:05:08PM) Core:0 "Loop iteration 3"
(06/26/2025 07:05:09PM) Core:0 "ADD result34 = 42 + 33"
(06/26/2025 07:05:09PM) Core:0 "SUBTRACT result35 = 33 - 31"
(06/26/2025 07:05:09PM) Core:0 "Loop iteration 1"
(06/26/2025 07:05:09PM) Core:0 "Loop iteration 2"
